Provider,TotalClaims,TotalClaimAmount,AvgClaimAmount,MaxClaimAmount,UniquePhysicians,PotentialFraud,anomaly_score,behavior_risk,fraud_probability
PRV51859,65,15500,238.46153846153845,3400,16,0,-0.1717686483631182,0.13567787,0.0059162714
PRV51860,776,244610,315.21907216494844,10000,8,0,-1.9316629305654587e-05,0.15584598,0.17511898
PRV51861,21,2760,131.42857142857142,900,11,0,-0.1662454438520146,0.023717385,0.0024813476
PRV51862,20,92870,4643.5,24000,17,0,-0.0937473200261406,0.047583465,0.08858305
PRV51863,73,286700,3927.3972602739727,36000,46,0,-0.0323515682352345,0.32859236,0.102375716
PRV51864,133,91090,684.8872180451128,36000,13,0,-0.0868434289013539,0.187982,0.06467878
PRV51865,28,11670,416.7857142857143,3300,11,0,-0.1740433431945927,0.041235484,0.0014103645
PRV51867,102,32130,315.0,3300,65,0,-0.0796536987110612,0.15295902,0.0005685938
PRV51868,144,1099710,7636.875,57000,35,1,0.094314468997487,0.7496103,0.9665485
PRV51869,21,26480,1260.952380952381,18000,11,0,-0.1334665938246031,0.029998686,0.02101433
PRV51870,55,19290,350.72727272727275,3300,26,0,-0.1594117068340004,0.16139168,0.00030246342
PRV51871,30,5920,197.3333333333333,1100,17,0,-0.1603221650204251,0.04175785,0.00062614854
PRV51872,24,8840,368.3333333333333,2600,19,0,-0.16603542466929,0.031070858,0.0004863532
PRV51873,144,341480,2371.3888888888887,78000,69,1,0.0732341600259762,0.28015968,0.8273232
PRV51874,44,11290,256.59090909090907,2100,12,0,-0.1665514457281465,0.098303825,0.00075897627
PRV51875,1,50,50.0,50,1,0,-0.1639635810486024,0.0,0.0017946006
PRV51876,61,242320,3972.459016393442,39000,38,1,-0.0510445009133032,0.49385926,0.35575056
PRV51877,4,290,72.5,100,2,0,-0.1679916203970829,0.0,0.002688975
PRV51878,12,3110,259.1666666666667,1700,11,0,-0.1704783765323457,0.017892422,0.0011087069
PRV51879,105,40710,387.7142857142857,11060,2,0,-0.1396589711863393,0.15425421,0.009737046
PRV51884,44,84530,1921.136363636364,51000,17,0,-0.0760209888624614,0.14427961,0.05425188
PRV51885,85,25670,302.0,3300,11,0,-0.168870837912517,0.17405738,0.0019226723
PRV51886,18,2160,120.0,700,2,0,-0.1762269225434167,0.02108348,0.0011032983
PRV51887,2,120,60.0,90,1,0,-0.1662946070762009,0.0,0.0013899119
PRV51888,5,640,128.0,400,4,0,-0.1700377510205122,0.07722508,0.0016040739
PRV51889,4,170,42.5,100,2,0,-0.1654720193132293,0.0,0.0011242904
PRV51890,21,14510,690.952380952381,11000,7,0,-0.1541068773073621,0.026590921,0.0066725714
PRV51891,3,480,160.0,400,3,0,-0.1708022643182332,0.0,0.0018076943
PRV51892,5,750,150.0,500,2,0,-0.1746535778514933,0.07725906,0.0007274706
PRV51894,20,9210,460.5,3300,11,0,-0.1729518100683384,0.024963368,0.012710154
PRV51895,18,3730,207.22222222222223,1100,6,0,-0.1754783107083939,0.021432389,0.0039738133
PRV51896,5,530,106.0,200,3,0,-0.1675437785698296,0.077090286,0.0019296427
PRV51897,65,10930,168.15384615384616,1900,12,0,-0.1601922546048144,0.16051441,0.00042982426
PRV51898,59,12520,212.20338983050848,6000,17,0,-0.1569978716375601,0.15124916,0.0061565973
PRV51899,23,5500,239.1304347826087,1600,4,0,-0.1768271255755907,0.027228694,0.0019126447
PRV51901,7,3600,514.2857142857143,3300,6,0,-0.1728812322315075,0.035176806,0.0010578915
PRV51902,4,1300,325.0,1100,2,0,-0.1737288941169588,0.0,0.0009699428
PRV51905,257,82540,321.16731517509726,3300,1,0,-0.1103203447628155,0.16355059,0.004949578
PRV51906,22,2730,124.0909090909091,1200,1,0,-0.1719426542805531,0.022437802,0.0010212722
PRV51908,22,14270,648.6363636363636,3300,2,0,-0.174446536127474,0.027863247,0.004144974
PRV51909,16,3460,216.25,700,6,0,-0.1738058494219473,0.018528007,0.0024607729
PRV51910,82,27950,340.8536585365854,3300,3,0,-0.1685942226330635,0.16253054,0.000845842
PRV51911,93,25540,274.6236559139785,3300,2,0,-0.1661294219358401,0.17101075,0.0015797662
PRV51913,1,70,70.0,70,1,0,-0.1665502259879082,0.0,0.0046516955
PRV51914,11,1680,152.72727272727272,500,3,0,-0.1739195270358007,0.018366124,0.0003445456
PRV51915,20,6170,308.5,2400,3,0,-0.1789995529017359,0.021686321,0.0009088451
PRV51916,43,7290,169.53488372093022,800,1,0,-0.1666444210334097,0.109709084,0.0022973772
PRV51917,11,970,88.18181818181819,500,1,0,-0.1731070437339903,0.018235905,0.0004465207
PRV51918,1,50,50.0,50,1,0,-0.1639635810486024,0.0,0.0017946006
PRV51919,6,101000,16833.333333333332,40000,3,0,0.0152311503610899,0.11642971,0.08747161
PRV51920,18,100700,5594.444444444444,57000,3,1,-0.0459337889949195,0.06756821,0.5060548
PRV51921,70,19290,275.57142857142856,3300,1,0,-0.1729031212088421,0.17347017,0.0010789894
PRV51922,24,5090,212.0833333333333,1000,7,0,-0.1737868013047073,0.027371448,0.0041453736
PRV51923,9,1040,115.55555555555556,700,2,0,-0.175733978228578,0.026394352,0.0007608827
PRV51924,50,15710,314.2,2800,6,0,-0.1749588828011959,0.15540752,0.0003275381
PRV51925,4,1960,490.0,1700,1,0,-0.1706414028392113,0.0,0.0019923616
PRV51926,32,13870,433.4375,2700,5,0,-0.1738169257304795,0.05030076,0.0011337774
PRV51927,6,64050,10675.0,23000,2,0,-0.0631280708334175,0.07983763,0.050350226
PRV51928,30,7140,238.0,1900,9,0,-0.1708345618090967,0.044746865,0.0036326267
PRV51929,111,106630,960.6306306306308,22000,40,0,-0.0864050145049376,0.23907153,0.0827687
PRV51930,6,1010,168.33333333333334,400,4,0,-0.1726956567338331,0.048857886,0.0010806523
PRV51931,46,18430,400.6521739130435,5000,21,0,-0.1571235332518426,0.13641635,0.0032327764
PRV51932,21,31970,1522.3809523809523,16000,8,0,-0.1374193919153097,0.029820943,0.02143102
PRV51933,57,14370,252.1052631578948,3300,44,0,-0.1259269700212419,0.14865789,0.000650129
PRV51934,111,27270,245.67567567567568,3300,18,0,-0.1544002567480605,0.15215114,0.0051536225
PRV51935,57,38280,671.578947368421,12000,39,0,-0.1123345668997862,0.17369182,0.009882906
PRV51936,20,4770,238.5,1000,18,0,-0.1592072492809357,0.024229882,0.0044445274
PRV51937,90,18270,203.0,2600,45,0,-0.1114737413329592,0.13947985,0.00690895
PRV51938,106,42020,396.4150943396226,8000,3,0,-0.145892456985463,0.17281073,0.018702496
PRV51940,251,1992270,7937.330677290836,71000,21,1,0.1787898303291412,0.8315118,0.9920467
PRV51941,27,17990,666.2962962962963,11000,20,0,-0.1466117396093639,0.037137672,0.0055286693
PRV51942,53,11880,224.1509433962264,3300,31,0,-0.1496678946886732,0.15238976,0.00096588704
PRV51943,89,28970,325.5056179775281,9000,58,0,-0.0817090409108031,0.1686296,0.00090191327
PRV51944,124,96100,775.0,22000,49,0,-0.0743961303940646,0.21747437,0.06255166
PRV51946,91,201370,2212.8571428571427,28000,54,0,-0.0357948577807422,0.27379155,0.03811479
PRV51947,28,24090,860.3571428571429,22000,20,0,-0.1229341453363929,0.045955967,0.0041485005
PRV51948,515,1519950,2951.359223300971,69000,8,1,0.1502648982590857,0.31243634,0.9846465
PRV51949,71,260140,3663.943661971831,103000,20,0,0.0771167002144012,0.24113141,0.35140836
PRV51950,69,45770,663.3333333333334,19000,16,0,-0.1358012455505354,0.16520517,0.011495907
PRV51951,102,473010,4637.35294117647,45000,41,1,-0.0040932806793371,0.34597427,0.41586548
PRV51952,19,2470,130.0,500,7,0,-0.1678017678941946,0.022351608,0.00082547776
PRV51954,643,450930,701.2908242612752,57000,183,0,0.1633441667276561,0.20689957,0.19670096
PRV51956,14,24110,1722.142857142857,11000,9,0,-0.1410890449523894,0.020280162,0.0016687027
PRV51957,79,210190,2660.6329113924053,19000,45,0,-0.0447539123464979,0.33481887,0.18153793
PRV51958,29,11000,379.3103448275862,3300,17,0,-0.1687819086203127,0.041219268,0.0013513177
PRV51959,751,213350,284.0878828229028,3300,4,0,-0.0060893768425255,0.16139036,0.22870259
PRV51960,48,266640,5555.0,57000,6,0,-0.0396869834740059,0.3458588,0.20296676
PRV51961,159,46610,293.1446540880503,3300,2,0,-0.1485690243240095,0.16142981,0.0028849232
PRV51963,54,13630,252.40740740740745,3500,1,0,-0.1737333518008447,0.16481388,0.00088805024
PRV51964,17,2440,143.52941176470588,700,2,0,-0.1763295691543479,0.020070665,0.0009595818
PRV51965,19,2680,141.05263157894737,500,3,0,-0.1724696306336876,0.02119054,0.00090778584
PRV51966,3,2450,816.6666666666666,2300,2,0,-0.1616119772803256,0.0,0.0002233727
PRV51967,57,16830,295.2631578947368,3300,4,0,-0.176455453839137,0.17245401,0.0012417708
PRV51968,1,90,90.0,90,1,0,-0.1656919797699161,0.0,0.0017946006
PRV51969,42,15450,367.8571428571428,3300,2,0,-0.1757229058778782,0.111514494,0.0013704227
PRV51970,35,25410,726.0,10400,1,0,-0.1560888785688687,0.066396,0.0072796093
PRV51972,35,9460,270.2857142857143,3300,3,0,-0.178700739329559,0.055570707,0.0018002104
PRV51973,74,19060,257.56756756756755,3300,2,0,-0.1724016182222332,0.13238707,0.002157306
PRV51974,4,710,177.5,500,2,0,-0.1766942033192369,0.0,0.00046206085
PRV51976,7,61000,8714.285714285714,19000,1,0,-0.0787986430786206,0.055227593,0.035054855
PRV51977,1,8000,8000.0,8000,1,0,-0.0754042083918556,0.0,0.0004346537
PRV51978,4,31000,7750.0,12000,2,0,-0.0904170169623634,0.0,0.0020083436
PRV51979,13,136000,10461.53846153846,22000,1,1,-0.0452231696307,0.056049276,0.34638262
PRV51981,5,18000,3600.0,6000,2,0,-0.125420883221238,0.08733817,0.0017868468
PRV51983,40,7050,176.25,2400,25,0,-0.1543659695570041,0.0672986,0.0009928528
PRV51984,525,160780,306.247619047619,3300,34,0,-0.0301106990530145,0.17771126,0.07325184
PRV51987,2,30,15.0,20,2,0,-0.1629360858061412,0.0,0.0011578497
PRV51988,37,12230,330.5405405405405,2900,2,0,-0.1769804307227741,0.058562927,0.0018624425
PRV51989,18,4060,225.5555555555556,900,1,0,-0.1745820473088255,0.021383341,0.0013395688
PRV51990,89,18690,210.0,2200,4,0,-0.1593919984681121,0.16127256,0.0023052667
PRV51991,31,9570,308.7096774193548,1900,2,0,-0.1728103229823758,0.046299893,0.00097095984
PRV51992,61,10790,176.88524590163934,2700,2,0,-0.1702211257078419,0.15076327,0.0068302597
PRV51993,2,230,115.0,200,1,0,-0.1667222990191038,0.0,0.004257723
PRV51994,33,11780,356.969696969697,2100,4,0,-0.1717147163218387,0.05717757,0.003807186
PRV51995,20,9700,485.0,2600,2,0,-0.1750264023773676,0.02367363,0.05440738
PRV51996,41,10070,245.609756097561,2700,4,0,-0.175414352536165,0.09078827,0.00090598804
PRV51998,28,5360,191.42857142857144,2200,2,0,-0.1730568970067029,0.03906936,0.00044823228
PRV51999,17,2660,156.47058823529412,800,3,0,-0.17733441161617,0.02013767,0.00090971106
PRV52001,1177,320620,272.4044180118946,4300,13,0,0.0451644601942443,0.17193167,0.10953678
PRV52002,188,343260,1825.851063829788,57000,107,1,0.0651851261236379,0.2076674,0.6826458
PRV52003,154,806950,5239.935064935065,57000,51,0,0.0552973415563431,0.5120131,0.288237
PRV52004,47,15680,333.6170212765957,3300,1,0,-0.1740819233563379,0.13849813,0.0009193159
PRV52007,18,1910,106.11111111111111,500,2,0,-0.174652890312598,0.019932427,0.0010297259
PRV52008,25,4830,193.2,1200,3,0,-0.1744120491536326,0.02732581,0.00072203676
PRV52009,35,5770,164.85714285714286,1600,4,0,-0.1727993375335044,0.054801583,0.0016305286
PRV52010,7,1400,200.0,900,3,0,-0.1761048624139858,0.0342741,0.0035198007
PRV52011,26,7070,271.9230769230769,1200,8,0,-0.1718981871364212,0.033296358,0.007795824
PRV52012,1,8000,8000.0,8000,1,0,-0.0754042083918556,0.0,0.0004346537
PRV52013,62,14210,229.1935483870968,3200,15,0,-0.1733205952017213,0.16268358,0.0004242563
PRV52014,351,93890,267.4928774928775,3300,113,0,0.0417570451701677,0.12589662,0.025238343
PRV52017,280,304770,1088.4642857142858,32000,48,0,-0.0101727576525545,0.19526254,0.27796096
PRV52019,1961,5996050,3057.6491585925546,98000,643,1,0.3104603658571712,0.7541172,0.97710115
PRV52020,606,1164820,1922.145214521452,57000,93,1,0.1400545249203557,0.37840787,0.9616933
PRV52021,613,1951850,3184.094616639478,82000,128,1,0.228917481674503,0.40859687,0.9845375
PRV52022,66,17770,269.24242424242425,2100,21,0,-0.1576476241124438,0.15636563,0.0004365524
PRV52024,2,2100,1050.0,1700,1,0,-0.1514965680861101,0.0,0.00046725545
PRV52025,119,35190,295.7142857142857,3300,42,0,-0.11473886469988,0.1692614,0.0019274986
PRV52026,24,6960,290.0,3300,11,0,-0.1762932929931883,0.027580574,0.0008039273
PRV52027,181,402620,2224.4198895027625,51000,89,0,0.0416510497007934,0.24958102,0.100905836
PRV52028,18,69530,3862.777777777778,46000,9,0,-0.0735419691589076,0.034813456,0.05248806
PRV52029,168,166610,991.7261904761904,35000,63,0,-0.0258326065195457,0.16359617,0.060657486
PRV52030,2275,681360,299.4989010989011,28000,20,1,0.1649833586709472,0.12925054,0.97853
PRV52031,125,37770,302.16,11000,49,0,-0.0833924483089688,0.16357863,0.0015386173
PRV52032,627,698640,1114.2583732057417,26000,103,1,0.1233549279951321,0.23707834,0.79996645
PRV52037,171,52660,307.953216374269,3300,86,0,-0.0342080333338313,0.15355971,0.0049194563
PRV52038,259,240630,929.073359073359,18000,85,0,0.01664586808495,0.191176,0.1692079
PRV52039,50,10170,203.4,1400,9,0,-0.1671329250043531,0.16102509,0.06517369
PRV52041,1885,604980,320.9442970822281,6060,8,1,0.1324148620081996,0.14697035,0.9617076
PRV52042,52,27720,533.0769230769231,9000,16,0,-0.159904140306914,0.17257404,0.04072867
PRV52044,79,408830,5175.06329113924,48000,39,0,-0.0145659371957258,0.7011273,0.49724784
PRV52045,243,577030,2374.6090534979426,82000,128,1,0.1543921544958602,0.22049643,0.7543496
PRV52046,101,28190,279.1089108910891,2400,42,0,-0.1115015153478031,0.16573763,0.0010386355
PRV52047,24,148550,6189.583333333333,50000,3,0,-0.0513813129751628,0.08616443,0.17733368
PRV52048,108,38820,359.44444444444446,3300,65,0,-0.0771744687946241,0.16649427,0.00067507004
PRV52049,192,55850,290.8854166666667,3300,75,0,-0.0544559532863164,0.17472237,0.0032515689
PRV52051,89,35290,396.5168539325843,3300,41,0,-0.1205533821552634,0.17050393,0.0022060606
PRV52052,58,48580,837.5862068965517,17000,12,0,-0.1427222364184536,0.18991993,0.025101326
PRV52054,240,78490,327.0416666666667,3300,121,0,0.0342764852536684,0.1811361,0.0044749966
PRV52055,203,51010,251.2807881773399,3300,35,0,-0.1089746905999981,0.15165685,0.0075251367
PRV52056,60,17280,288.0,1800,13,0,-0.1641295016939124,0.14432903,0.004764764
PRV52057,185,173770,939.2972972972972,57000,48,0,-0.0163812686856835,0.20750083,0.59465116
PRV52058,204,55450,271.8137254901961,3300,70,0,-0.0598092070438727,0.16093466,0.0019316743
PRV52059,1287,540810,420.2097902097902,41000,17,1,0.1126090637698719,0.16314681,0.9698037
PRV52061,131,31790,242.67175572519085,3300,50,0,-0.1006888000123062,0.16690658,0.001807659
PRV52062,184,56860,309.0217391304348,3300,70,0,-0.066974553610579,0.1640315,0.0016371391
PRV52063,792,1116210,1409.3560606060605,50000,142,0,0.1859172050601845,0.34314328,0.22441597
PRV52064,2844,1119680,393.69901547116734,31000,65,1,0.2169410085686749,0.16568908,0.9876364
PRV52065,325,1250280,3847.015384615384,69000,131,1,0.178106501796269,0.4636687,0.9733069
PRV52066,1455,386530,265.65635738831617,4300,3,1,0.0869094601594272,0.16409169,0.94317174
PRV52068,48,13080,272.5,1700,25,0,-0.1511533082427013,0.13068704,0.0062860106
PRV52069,88,22280,253.1818181818182,3200,42,0,-0.1213425549092688,0.15039487,0.00051754544
PRV52071,749,259850,346.92923898531376,14030,29,0,0.0221651244899651,0.16324696,0.38892576
PRV52072,132,421030,3189.621212121212,43000,47,0,-0.0106309952495327,0.26685756,0.4909958
PRV52073,64,359250,5613.28125,56000,14,0,-0.0327207355644773,0.5504434,0.26795295
PRV52074,141,161600,1146.099290780142,33000,49,0,-0.0490677915603235,0.19580561,0.17202039
PRV52075,5,1220,244.0,600,4,0,-0.1715933378500587,0.0775184,0.0019487992
PRV52076,221,554060,2507.058823529412,46000,96,0,0.0753194100046324,0.2736911,0.07636577
PRV52077,1156,1364150,1180.060553633218,112000,12,1,0.2182659759851726,0.28279084,0.9544226
PRV52079,33,45100,1366.6666666666667,15000,22,0,-0.1311749719382997,0.08284964,0.015127786
PRV52081,24,28270,1177.9166666666667,9000,17,0,-0.1454841770286862,0.037506957,0.020580547
PRV52082,8,880,110.0,400,5,0,-0.1701340921181329,0.02636683,0.002128725
PRV52084,34,107750,3169.1176470588234,21000,22,0,-0.0993014619948562,0.106283486,0.047418088
PRV52085,824,240620,292.0145631067961,12060,144,0,0.1285782702846863,0.13444753,0.10923096
PRV52087,56,20350,363.3928571428572,3000,23,0,-0.1631028267930714,0.15018353,0.00034695395
PRV52088,44,24990,567.9545454545455,18000,10,0,-0.1423862874639502,0.11520871,0.011230129
PRV52089,145,221580,1528.1379310344828,49000,19,1,-0.0490983752367925,0.22118428,0.5996059
PRV52090,303,98250,324.25742574257424,5700,47,0,-0.0465926398923254,0.16592483,0.00934778
PRV52092,159,141470,889.7484276729559,18000,62,0,-0.047801362794247,0.22401793,0.04655809
PRV52094,53,161120,3040.0,57000,27,0,-0.0505319703282186,0.4170913,0.35792512
PRV52095,38,15560,409.4736842105263,5000,30,0,-0.1372915415288271,0.082443126,0.0022882628
PRV52097,55,19640,357.09090909090907,4200,20,0,-0.1638863229403825,0.16700527,0.0017285328
PRV52098,469,122660,261.5351812366738,3300,130,0,0.0691869959988232,0.16125889,0.011925143
PRV52099,90,31370,348.55555555555554,9000,31,0,-0.1292150697067125,0.17205626,0.0023875125
PRV52100,201,1533150,7627.611940298508,57000,35,1,0.1350612865835405,0.70729375,0.98813593
PRV52101,15,12500,833.3333333333334,10000,9,0,-0.1524649218234879,0.019348329,0.0014761335
PRV52102,15,1910,127.33333333333331,400,10,0,-0.1644329557703455,0.0182794,0.00026148907
PRV52104,1189,347070,291.9007569386039,6060,9,0,0.0547102520750247,0.16147377,0.043068882
PRV52105,26,12780,491.5384615384616,3300,6,0,-0.1749635190001898,0.034327954,0.0036525421
PRV52107,119,124760,1048.403361344538,24000,5,0,-0.0924796360051995,0.20498502,0.10043936
PRV52109,248,75580,304.758064516129,3300,109,0,0.0223522250592156,0.14214647,0.01787884
PRV52111,85,89960,1058.3529411764705,37000,36,0,-0.075002131313308,0.18297045,0.013695068
PRV52112,85,259790,3056.3529411764707,29000,41,0,-0.0478907465310763,0.28991187,0.28011256
PRV52113,120,22170,184.75,3300,4,0,-0.1536741717878027,0.14940888,0.0021359934
PRV52114,1269,1418220,1117.5886524822697,57000,12,1,0.1768900954195801,0.35607088,0.93692404
PRV52115,90,241500,2683.333333333333,40000,37,1,-0.0534643725580764,0.33663374,0.3439902
PRV52118,52,113660,2185.769230769231,57000,20,0,-0.0583212196606022,0.25621796,0.16410986
PRV52119,52,202380,3891.923076923077,35000,26,1,-0.0728259101429061,0.35597813,0.50169647
PRV52120,1231,1950720,1584.6628757108042,57000,54,1,0.1964144077395764,0.34339014,0.9419647
PRV52121,53,49610,936.0377358490566,12000,20,0,-0.1398383178952394,0.16925278,0.057458512
PRV52122,41,18740,457.0731707317073,3300,21,0,-0.165285407742421,0.08909425,0.00204866
PRV52123,256,1447140,5652.890625,57000,35,1,0.1260330160820006,0.62115014,0.9901074
PRV52124,115,189250,1645.6521739130435,43000,42,1,-0.049171759818975,0.23175828,0.43262798
PRV52126,110,388830,3534.818181818182,20000,69,0,0.0205241497391827,0.36792016,0.30754575
PRV52127,15,73050,4870.0,51000,14,0,-0.0614122084143005,0.038736545,0.024037054
PRV52128,113,492550,4358.849557522124,37000,11,0,-0.0214905820856768,0.39812225,0.17079625
PRV52129,223,55590,249.28251121076232,3300,22,0,-0.1233946163895287,0.14216377,0.015840098
PRV52130,93,141100,1517.2043010752689,57000,45,0,-0.0345409941287673,0.23785508,0.07085221
PRV52131,84,349760,4163.809523809524,57000,42,0,-0.0246556433422259,0.30705371,0.33482945
PRV52133,305,105080,344.5245901639344,4000,42,0,-0.0580998821350947,0.17665957,0.017516917
PRV52135,263,1825550,6941.254752851711,57000,40,1,0.1597999845268686,0.7892646,0.9906879
PRV52136,104,380190,3655.673076923077,58000,56,0,-0.0010081981836378,0.44627,0.3909637
PRV52138,188,58880,313.1914893617021,3300,75,0,-0.0520888983628637,0.15021195,0.0036758638
PRV52140,19,5130,270.0,3200,8,0,-0.1768303887248415,0.023061661,0.0029256898
PRV52141,671,220290,328.301043219076,10000,39,0,0.0142501443056441,0.1567141,0.21940812
PRV52142,59,248520,4212.203389830508,33000,35,0,-0.0552477540889249,0.42827868,0.4383393
PRV52143,17,8290,487.6470588235294,2300,11,0,-0.1677102218359796,0.021171078,0.0033811291
PRV52144,134,123130,918.8805970149252,12000,64,0,-0.0448029972765757,0.17577438,0.011495057
PRV52145,245,60910,248.6122448979592,3300,50,0,-0.0782078018591218,0.168279,0.0066770255
PRV52146,40,240710,6017.75,39000,29,0,-0.0461362189199996,0.38690746,0.40587717
PRV52147,211,291500,1381.516587677725,57000,68,1,0.0130063503704869,0.25829023,0.64278996
PRV52148,78,345150,4425.0,30000,35,0,-0.0407508279934318,0.50538933,0.23782389
PRV52149,180,191550,1064.1666666666667,44000,65,0,-0.0127863389649032,0.21427694,0.23248816
PRV52150,310,445240,1436.258064516129,57000,118,0,0.0888632968356089,0.1646635,0.30729112
PRV52151,121,474110,3918.264462809917,64000,62,1,0.0393892062091667,0.3296405,0.52733046
PRV52152,88,454360,5163.181818181818,47000,52,0,0.0141008319419049,0.5176585,0.3326842
PRV52154,742,194350,261.92722371967653,4300,89,0,0.0762319907901666,0.1494181,0.0930501
PRV52155,62,98490,1588.548387096774,14000,35,0,-0.0977477830401368,0.22541833,0.07188411
PRV52156,124,271910,2192.822580645161,92000,53,0,0.0864119405696302,0.23905025,0.3870561
PRV52157,227,494450,2178.193832599119,57000,105,0,0.0749335375358407,0.33537173,0.068305366
PRV52159,271,288300,1063.8376383763837,32000,87,0,0.030297167001273,0.1952315,0.29649705
PRV52160,53,41460,782.2641509433962,12000,29,0,-0.1331765136153347,0.1670877,0.016439632
PRV52161,10,1660,166.0,600,7,0,-0.1714656527666216,0.019682292,0.00059203047
PRV52162,39,28000,717.9487179487179,14000,20,0,-0.1439088172652387,0.07727458,0.02161783
PRV52163,62,37470,604.3548387096774,7000,21,0,-0.1538617172018475,0.15218516,0.07317984
PRV52165,72,114060,1584.1666666666667,15000,39,1,-0.0813727334164861,0.28221545,0.2313285
PRV52166,100,69300,693.0,15000,37,0,-0.1067872159487041,0.17434265,0.02174458
PRV52167,80,116390,1454.875,36000,39,0,-0.0691337013785197,0.22976777,0.05085947
PRV52168,78,17660,226.4102564102564,2700,36,0,-0.1334432894756955,0.16134632,0.00062804675
PRV52169,39,10000,256.4102564102564,2000,33,0,-0.1375371438765337,0.07080361,0.0006889166
PRV52170,43,62090,1443.953488372093,44000,27,0,-0.0834506048731874,0.1701005,0.006772913
PRV52171,12,17820,1485.0,8000,8,0,-0.1433167988939613,0.020928804,0.001440626
PRV52173,119,1381400,11608.403361344535,73000,2,1,0.164902468704477,0.86597246,0.9872168
PRV52174,4,830,207.5,700,3,0,-0.1745873453102022,0.0,0.0015686047
PRV52175,221,58320,263.8914027149321,5000,63,0,-0.0598626639800382,0.1468049,0.0024475583
PRV52176,21,312000,14857.142857142857,44000,4,0,0.0404640212791521,0.24148743,0.33368942
PRV52177,39,33850,867.9487179487179,14000,20,0,-0.1425982120527931,0.08064634,0.011870071
PRV52178,136,1379590,10144.04411764706,57000,6,1,0.1378809464561078,0.75155747,0.9852711
PRV52179,44,39910,907.0454545454544,19000,4,0,-0.1376133237261398,0.164152,0.009188257
PRV52180,62,78720,1269.6774193548388,28000,25,0,-0.1125645607326193,0.22337289,0.010686355
PRV52181,27,108640,4023.703703703704,21000,19,1,-0.1001412549825724,0.073159516,0.2209234
PRV52182,109,63620,583.6697247706422,11000,8,0,-0.1374061611242163,0.1326829,0.12196776
PRV52184,21,2960,140.95238095238096,1000,7,0,-0.1704719542422952,0.022493387,0.0018465222
PRV52185,68,15510,228.08823529411765,1700,1,0,-0.1609340086411281,0.17149834,0.01970697
PRV52186,41,7160,174.6341463414634,1500,9,0,-0.1684600319021901,0.09574634,0.00632433
PRV52187,27,7440,275.55555555555554,2300,6,0,-0.1752454617897722,0.037511196,0.0005753828
PRV52188,33,171080,5184.242424242424,57000,11,0,-0.0493315696732681,0.18562447,0.18628615
PRV52189,23,5890,256.0869565217391,2600,4,0,-0.1800250668289882,0.028795347,0.000516804
PRV52191,28,8640,308.57142857142856,2700,17,0,-0.1681370902673735,0.04014715,0.0006600221
PRV52192,32,52060,1626.875,12000,13,0,-0.1410434699578311,0.075037256,0.07063912
PRV52193,153,28620,187.05882352941177,2200,1,0,-0.1331850817655092,0.14942272,0.0036277664
PRV52195,10,120000,12000.0,43000,8,1,-0.0194674694995045,0.060214058,0.61038184
PRV52196,6,2710,451.6666666666667,1400,2,0,-0.1747409078285823,0.049443558,0.0073678796
PRV52197,10,114000,11400.0,57000,4,0,-0.0140335775747046,0.06759995,0.39223078
PRV52199,10,1080,108.0,400,4,0,-0.1715264555175125,0.019635348,0.0006802269
PRV52200,1,40,40.0,40,1,0,-0.1628659375466221,0.0,0.0017946006
PRV52201,9,450,50.0,100,1,0,-0.1643928265068213,0.026291983,0.0013143872
PRV52202,50,8200,164.0,1100,2,0,-0.1680486838916129,0.17048815,0.032424003
PRV52204,9,2590,287.77777777777777,1200,1,0,-0.1749486582067168,0.026700957,0.00092068635
PRV52205,2,1120,560.0,1100,1,0,-0.1687250460514275,0.0,0.0008303215
PRV52206,5,1810,362.0,1300,2,0,-0.1741539066226176,0.07801173,0.0010329167
PRV52208,13,4560,350.7692307692308,2000,1,0,-0.1755742245741748,0.018820489,0.00032436164
PRV52209,8,4960,620.0,2900,3,0,-0.1714021750093445,0.027276108,0.0019240087
PRV52211,130,26860,206.6153846153846,3300,1,0,-0.1544319495392012,0.13582468,0.037054032
PRV52212,64,13220,206.5625,3000,2,0,-0.1724364702262017,0.16111043,0.0101106735
PRV52213,7,590,84.28571428571429,200,3,0,-0.1697880318453905,0.034049768,0.0014566428
PRV52214,47,12680,269.7872340425532,2600,1,0,-0.1712224467902247,0.13887098,0.0035037566
PRV52216,15,4940,329.3333333333333,3300,2,0,-0.1802796924576394,0.018716631,0.0004101825
PRV52217,5,520,104.0,400,3,0,-0.1701061227922691,0.07712865,0.005616248
PRV52218,8,1660,207.5,900,1,0,-0.1747051803770823,0.026546044,0.003179904
PRV52219,4,2780,695.0,2100,2,0,-0.1657627551949576,0.0,0.00023971315
PRV52220,12,2200,183.3333333333333,900,2,0,-0.1795703585670975,0.018451622,0.00037821403
PRV52221,1,10,10.0,10,1,0,-0.1613966994978372,0.0,0.0017946006
PRV52222,54,16920,313.3333333333333,3100,1,0,-0.1733992989565092,0.16471101,0.00034131814
PRV52224,41,10100,246.3414634146341,3300,3,0,-0.1764791819045688,0.09131768,0.0012695671
PRV52225,6,840,140.0,400,2,0,-0.175280375636296,0.048693676,0.001447377
PRV52226,2,100,50.0,90,1,0,-0.1659588233260531,0.0,0.0013179949
